year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2000,1,0.0,670.0,,
2006,2,0.0,2300.0,10.2115,
2007,2,0.0,3775.0,10.95989606,13.50681897
2008,2,0.0,5250.0,11.70829212,13.50681897
2009,1,0.0,5249.0,11.70829212,13.50681897
2010,2,0.0,5249.0,11.70829212,13.50681897
2011,2,0.0,5249.0,11.70829212,13.50681897
2012,2,0.0,5711.5,11.74022915,13.81230292
2013,2,0.0,6835.5,11.86639863,14.14248067
2014,4,0.5,10952.5,12.34874171,14.57123864
2015,3,0.3333333333333333,9799.666667,12.2193715,14.43655058
2016,2,0.0,7494.0,11.96063109,14.16717447
2017,2,0.0,7494.0,11.96063109,14.16717447
2018,4,0.0,10723.0,13.69584541,15.72210741
2019,4,0.0,10766.5,13.69140528,15.52719469
