year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
0.0,1,0.0,3687.0,14.29388976,
0.0,2,0.0,3687.0,14.29388976,
1.0,2,1.0,11802.0,13.57773766,14.64941154
1.0,4,1.0,8945.5,12.51879419,14.41265728
0.8571428571428571,7,0.8571428571428571,7607.714286,12.8700125,14.42609569
0.75,8,0.75,7334.875,13.3351587,14.51848151
0.75,8,0.75,7559.625,13.25208635,14.42595309
0.8333333333333334,6,0.8333333333333334,8127.5,13.25026402,14.37820071
0.5555555555555556,9,0.5555555555555556,7360.111111,12.61909008,14.9328575
0.6,10,0.6,9432.1,12.64851515,14.82848822
0.5454545454545454,11,0.5454545454545454,9056.272727,12.41893036,14.92481101
0.35294117647058826,17,0.35294117647058826,7160.941176,11.99312353,15.21452057
0.3684210526315789,19,0.3684210526315789,7182.052631999999,12.53127877,15.18802796
0.35,20,0.35,7325.8,12.81539363,15.49291459
0.32,25,0.32,6455.08,12.63215296,15.51121015
0.3333333333333333,21,0.3333333333333333,6646.904762,12.70232342,15.54656745
0.36363636363636365,22,0.36363636363636365,10700.27273,13.32565397,15.93650231
0.3684210526315789,19,0.3684210526315789,14379.68421,13.28255187,15.48100682
