year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
1.0,1,1.0,2919.0,9.174065041,
1.0,2,1.0,2845.5,9.38777203,
0.5,6,0.5,2670.333333,10.36154953,14.74345646
0.4444444444444444,9,0.4444444444444444,2615.888889,11.22716922,14.74345646
0.5,10,0.5,4929.6,11.67028421,14.74345646
0.5,8,0.5,5610.5,11.67178305,14.74345646
0.5333333333333333,15,0.5333333333333333,5603.133333,11.89429862,15.35912461
0.7857142857142857,14,0.7857142857142857,6227.071429,12.05380128,14.80237613
0.7647058823529411,17,0.7647058823529411,5081.176471,12.05075725,14.68807634
0.6875,16,0.6875,5306.125,12.82881545,15.22811075
0.6666666666666666,18,0.6666666666666666,6045.833333,12.9854549,14.8762952
0.6176470588235294,34,0.6176470588235294,6901.029412000001,12.70181476,14.94908898
0.5882352941176471,34,0.5882352941176471,5936.529412,12.62199837,14.82862526
0.5909090909090909,44,0.5909090909090909,6298.2045450000005,12.71373285,15.25986539
0.5869565217391305,46,0.5869565217391305,6395.4565219999995,12.8231073,15.26416735
0.5813953488372093,43,0.5813953488372093,7229.627906999999,12.8322918,15.47211606
0.6046511627906976,43,0.6046511627906976,7205.511628,13.02547349,15.43255218
0.5769230769230769,26,0.5769230769230769,7688.769231,13.09169555,15.15448496
0.42857142857142855,28,0.42857142857142855,6886.5,12.38972899,14.21128962
0.41935483870967744,31,0.41935483870967744,8064.354839,12.89624132,15.49471959
