year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
0.0,1,0.0,2739.0,12.92542669,
0.0,1,0.0,2761.0,12.63999115,
0.0,2,0.0,2761.5,12.89650544,
1.0,2,1.0,21412.5,12.83893892,13.29373889
0.2222222222222222,9,0.2222222222222222,4521.222222,13.35059394,14.74662644
0.2857142857142857,14,0.2857142857142857,6654.642857,13.0999285,15.31576745
0.4117647058823529,17,0.4117647058823529,6381.470588,13.24636801,15.40786928
0.5625,16,0.5625,8148.875,13.19099137,15.5472552
0.5333333333333333,15,0.5333333333333333,7612.466667000001,13.24745408,15.50188307
0.625,16,0.625,7301.625,13.34098323,15.72854294
0.5789473684210527,19,0.5789473684210527,6894.578947,13.52492329,16.28518995
0.5833333333333334,12,0.5833333333333334,9403.75,14.01049964,16.65471762
0.5555555555555556,9,0.5555555555555556,15884.11111,13.67086892,16.16625133
0.6,5,0.6,21715.8,12.75426069,15.58143077
