year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
0.5,2,0.5,2076.0,12.74675432,14.26529262
0.5555555555555556,9,0.5555555555555556,2836.777778,13.71741006,14.62256241
0.5357142857142857,28,0.5357142857142857,3444.678571,12.78295463,14.44790324
0.3524904214559387,261,0.3524904214559387,4386.601533,12.16753489,14.19089664
0.3230088495575221,452,0.3230088495575221,4747.949114999999,12.37044328,14.47829902
0.3112676056338028,710,0.3112676056338028,5045.435211,12.55127286,14.64530053
0.3295711060948081,886,0.3295711060948081,5366.849886999999,12.54833586,14.77538239
0.3190909090909091,1100,0.3190909090909091,5415.620909,12.5889241,14.82441087
0.3302611367127496,1302,0.3302611367127496,5618.43318,12.64958941,14.89733069
0.32540154669839383,1681,0.32540154669839383,5782.4544909999995,12.58958842,14.86293422
0.33299748110831234,1985,0.33299748110831234,5842.714861,12.74271607,14.97014284
0.3402714932126697,2210,0.3402714932126697,5893.077376,12.82684681,15.03666238
0.3286219081272085,2264,0.3286219081272085,5913.195671,12.93060058,15.06367929
0.3425701420159335,2887,0.3425701420159335,6087.493592,12.970212599999998,15.06405892
0.3480297602645357,3629,0.3480297602645357,6486.582254,12.9502721,15.11281124
0.3646625201566459,4341,0.3646625201566459,6969.990554999999,12.99627521,15.15080156
0.36486486486486486,4810,0.36486486486486486,7103.168191,13.03989181,15.16144641
0.37241645740776513,5177,0.37241645740776513,7499.525594,13.06141577,15.16599952
0.3913802128773338,5731,0.3913802128773338,7807.308323,13.08858286,15.20885867
0.4092561983471074,6050,0.4092561983471074,8495.101983,13.09229693,15.24132921
0.4144748455428067,5665,0.4144748455428067,8672.345278,13.13750052,15.26729888
0.4408695652173913,4600,0.4408695652173913,10014.344570000001,13.17970362,15.30553148
0.4536246276067527,5035,0.4536246276067527,10899.42959,13.28259913,15.23199194
