year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2000,1,1.0,49525.0,12.09325327,15.73171695
2001,2,0.5,22373.5,13.60776046,15.7763989
2003,1,1.0,34594.0,13.68229526,15.73171695
2004,2,1.0,36663.5,13.029731,15.7741445
2005,2,1.0,36599.0,12.74240946,16.07129786
2006,3,0.3333333333333333,14505.0,13.17743172,15.92344896
2007,4,0.5,19223.75,13.07192522,15.89702238
2008,2,1.0,32767.0,13.18545738,16.09051451
2009,3,0.6666666666666666,22667.0,14.43184433,16.36328637
2010,7,0.5714285714285714,15921.28571,13.501804000000002,15.02177764
2011,9,0.2222222222222222,10776.66667,13.75584385,15.60528535
2012,12,0.16666666666666666,8557.5,14.2892959,15.76443456
2013,6,0.3333333333333333,13157.66667,13.25233826,16.25425998
2014,11,0.18181818181818182,9250.363636,13.17761796,16.04504533
2015,12,0.16666666666666666,9993.5,12.80516712,15.33086576
2016,20,0.25,10494.55,12.97632881,14.43039447
2017,21,0.14285714285714285,8296.190476,13.30378606,14.17166603
2018,17,0.47058823529411764,23017.76471,12.71061739,14.56009962
2019,16,0.375,11569.5,12.5445052,14.67757962
