year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
0.0,1,0.0,5229.0,11.59419461,13.81666965
0.0,3,0.0,2581.666667,10.70372729,13.81666965
0.8,5,0.8,14870.6,12.37551305,14.69652958
1.0,4,1.0,22205.5,12.57511419,14.45898005
1.0,7,1.0,19642.42857,12.60487972,14.46693224
0.8571428571428571,7,0.8571428571428571,15798.428569999998,12.98998564,14.31037325
0.8571428571428571,14,0.8571428571428571,23116.0,11.98622164,13.64708815
0.9285714285714286,14,0.9285714285714286,20673.92857,11.62312698,13.40678687
0.75,8,0.75,10306.875,12.92512318,13.75700369
0.875,8,0.875,11274.875,12.38794889,13.65451544
0.8571428571428571,7,0.8571428571428571,10639.57143,12.06383762,13.48421597
0.3076923076923077,13,0.3076923076923077,15064.84615,12.03733288,12.97590424
0.1,20,0.1,16191.2,12.29792791,13.04614636
0.2,15,0.2,15903.533330000002,12.50321539,13.36821512
0.0,7,0.0,23451.71429,13.11818861,15.0992394
0.0,18,0.0,25842.5,13.25712266,15.08951916
