year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2007,3,0.0,7091.666667,15.16760152,16.19575753
2008,5,0.0,7018.0,15.04077745,16.20168098
2009,3,0.0,7016.666667,15.06423902,16.31593664
2010,5,0.0,7019.6,14.60209604,15.94455119
2011,5,0.0,7019.6,14.60209604,15.94455119
2012,3,0.0,7033.0,14.36683583,15.95709006
2013,2,0.0,7004.0,15.01747614,16.50375075
2014,1,0.0,6956.0,14.929972400000002,16.76809479
2015,3,0.0,6991.0,14.98890911,16.59186543
2016,4,0.0,6982.25,14.97417493,16.63592277
2017,4,0.0,6956.0,14.929972400000002,16.76809479
2018,3,0.0,7748.333333,13.4161875,15.68848315
2019,5,0.0,7749.4,13.4161875,15.68848315
