year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
0.0,1,0.0,927.0,10.89862245,
0.0,6,0.0,4203.5,13.98164518,15.79569338
0.21428571428571427,14,0.21428571428571427,6020.642857,13.33759444,14.74560233
0.2972972972972973,37,0.2972972972972973,7753.297297,13.22126905,14.93090051
0.38636363636363635,44,0.38636363636363635,9427.409091,13.61871598,15.50393848
0.20754716981132076,53,0.20754716981132076,6926.905659999999,13.08098925,14.91050571
0.2625,80,0.2625,8392.3625,12.76839244,14.62750669
0.3191489361702128,94,0.3191489361702128,8606.957447,12.705067300000001,14.69717171
0.3113207547169811,106,0.3113207547169811,8487.377358,12.87304894,14.91782041
0.35294117647058826,119,0.35294117647058826,8473.537815000002,13.10140596,15.24299783
0.3050847457627119,118,0.3050847457627119,7884.610169,13.21033857,15.32760877
0.31333333333333335,150,0.31333333333333335,8106.22,13.15435487,15.48145424
0.2647058823529412,170,0.2647058823529412,8229.223529,12.90497655,14.98291507
0.33617021276595743,235,0.33617021276595743,9533.646809,13.02197816,15.28471022
0.35447761194029853,268,0.35447761194029853,9869.828358,13.05899111,15.324690099999998
0.34615384615384615,286,0.34615384615384615,11048.78671,13.17477757,15.39987139
0.3556231003039514,329,0.3556231003039514,12120.902740000001,13.24561583,15.37908902
0.35347432024169184,331,0.35347432024169184,11371.7855,13.36381068,15.37274865
0.4013377926421405,299,0.4013377926421405,13188.75251,13.47252338,15.39933815
0.45893719806763283,207,0.45893719806763283,16665.63768,13.4123965,15.32593193
0.586046511627907,215,0.586046511627907,21076.25581,13.60850037,15.61175078
