year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
1.0,2,1.0,4301.0,10.56998282,13.50681897
0.0,1,0.0,6894.0,12.35896811,15.60156596
0.0,1,0.0,6917.0,12.34877142,15.60156596
0.0,2,0.0,6917.0,12.34877142,15.60156596
0.0,1,0.0,6852.0,12.36915903,15.60156596
0.0,2,0.0,6910.0,11.97729354,15.11148385
0.0,1,0.0,7642.0,12.15135468,14.83674596
0.0,1,0.0,7525.0,12.35335232,15.02112968
0.0,2,0.0,7497.5,12.35335232,15.02112968
0.0,2,0.0,7779.0,12.38565256,15.20135272
0.0,1,0.0,8088.0,12.4179528,15.38157575
0.0,2,0.0,7827.0,12.53816508,15.11225768
0.0,1,0.0,7827.0,12.53816508,15.11225768
