year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
0.2857142857142857,7,0.2857142857142857,3633.428571,10.57889248,12.70112661
0.5714285714285714,7,0.5714285714285714,4105.0,10.46728884,12.7361164
0.3076923076923077,13,0.3076923076923077,3405.0,11.37837864,13.11739806
0.2631578947368421,19,0.2631578947368421,4318.578947,11.38324065,13.8153135
0.23529411764705882,34,0.23529411764705882,4920.088235,11.60726647,14.13286833
0.25,40,0.25,5301.075,11.79928054,14.08094425
0.36,50,0.36,5626.68,11.72563456,13.61692252
0.3582089552238806,67,0.3582089552238806,7414.567164,12.19363265,14.10610683
0.24,75,0.24,7661.053333,12.32012597,14.45498721
0.25675675675675674,74,0.25675675675675674,7541.3648650000005,12.36145196,14.82172543
0.3163265306122449,98,0.3163265306122449,7385.479592000001,12.435897599999999,14.90173497
0.26666666666666666,120,0.26666666666666666,7202.5,12.42743509,14.81838465
0.2625,160,0.2625,6599.375,12.44934284,14.70160675
0.2732919254658385,161,0.2732919254658385,6974.708075,12.67881189,14.86559824
0.2441860465116279,172,0.2441860465116279,6886.813953,12.51919516,14.67492408
0.24479166666666666,192,0.24479166666666666,7208.864583,12.48508736,14.52644178
0.23711340206185566,194,0.23711340206185566,8435.943298999999,12.58429536,14.70266037
0.3076923076923077,169,0.3076923076923077,9498.431953,12.60145251,14.81642639
0.32456140350877194,114,0.32456140350877194,10125.17544,12.72963227,14.73627331
0.375,112,0.375,12132.53571,12.4875413,14.55094207
