year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
0.0,1,0.0,2833.0,12.988700699999999,
0.0,8,0.0,3665.625,13.28637973,15.22818128
0.36,25,0.36,7279.12,12.70290227,15.28288595
0.5666666666666667,30,0.5666666666666667,6822.366667,12.68954233,15.39821207
0.5833333333333334,36,0.5833333333333334,6800.666667,12.32457674,15.26477827
0.46,50,0.46,7819.94,12.47951305,14.99019329
0.47540983606557374,61,0.47540983606557374,7574.393443000001,12.41553656,14.89706784
0.5342465753424658,73,0.5342465753424658,7866.328767,12.59700652,14.9533503
0.525,80,0.525,7510.8375,12.45102591,14.83964023
0.43023255813953487,86,0.43023255813953487,6476.511628,12.55385881,15.03566261
0.32051282051282054,78,0.32051282051282054,6518.025640999999,12.58584458,14.86356678
0.3103448275862069,116,0.3103448275862069,6594.551724,12.57057597,14.95812696
0.2827586206896552,145,0.2827586206896552,6428.944828,12.46900057,14.7816837
0.3021978021978022,182,0.3021978021978022,6389.824176,12.526800099999999,14.75882978
0.28292682926829266,205,0.28292682926829266,6750.2390239999995,12.65384987,15.15905357
0.2558139534883721,215,0.2558139534883721,7405.888371999999,12.93335735,15.34960646
0.29130434782608694,230,0.29130434782608694,7387.082609,12.89389954,15.33070722
0.2786885245901639,244,0.2786885245901639,7256.918033,12.90332759,15.33665226
0.3090128755364807,233,0.3090128755364807,7428.5321890000005,12.90965761,15.37488694
0.39,200,0.39,10902.725,12.94837653,15.43049203
0.44021739130434784,184,0.44021739130434784,13708.206519999998,13.16405973,15.43855734
