year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
0.0,1,0.0,3933.0,11.88714532,14.06817629
0.0,4,0.0,2849.75,10.64119673,14.01822512
0.0,4,0.0,2887.25,10.87361073,13.96827395
0.0,3,0.0,2628.666667,12.14093958,
0.0,5,0.0,3750.6,12.90136715,15.10220485
0.0,4,0.0,3332.5,12.72621993,15.98806761
0.4,5,0.4,5877.4,11.86150965,14.47329232
1.0,4,1.0,10190.5,11.82603665,13.85315698
0.7142857142857143,7,0.7142857142857143,12753.57143,12.62400559,15.27103755
0.6666666666666666,12,0.6666666666666666,10526.0,12.49323736,14.85185678
0.5882352941176471,17,0.5882352941176471,9251.588235,12.62548815,14.89195481
0.6190476190476191,21,0.6190476190476191,9392.190476,12.76933229,15.23933022
0.6363636363636364,22,0.6363636363636364,9135.363636,12.67034153,15.33679167
0.5909090909090909,22,0.5909090909090909,10156.54545,12.565859300000001,15.33181539
0.47619047619047616,21,0.47619047619047616,9562.761905,12.63286195,15.48714822
0.45454545454545453,22,0.45454545454545453,9467.045455,12.46872889,15.25498407
0.5238095238095238,21,0.5238095238095238,9787.523809999999,12.3290632,15.22287513
0.47368421052631576,19,0.47368421052631576,10486.15789,12.95476463,16.21488957
0.38461538461538464,26,0.38461538461538464,10281.65385,12.70999327,15.31043785
