year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
0.0,1,0.0,7491.0,12.25719737,13.714393900000001
0.3333333333333333,3,0.3333333333333333,8488.666667,11.45732883,13.12951061
1.0,2,1.0,10472.5,9.638463096,12.82919607
0.3333333333333333,3,0.3333333333333333,9573.0,11.48705657,13.94507896
0.5,4,0.5,10365.25,11.15303875,12.61431585
0.5,8,0.5,9172.375,11.53525331,13.51246886
0.4,10,0.4,7854.7,11.58865542,13.75668784
0.5714285714285714,7,0.5714285714285714,9126.571429000001,11.73806109,14.20786676
1.0,2,1.0,13214.0,10.14472524,12.85755635
1.0,2,1.0,13813.0,9.975640695,12.0696687
0.6666666666666666,3,0.6666666666666666,10833.0,11.24523149,13.44945153
0.75,4,0.75,10248.5,11.676700300000002,13.60413272
0.5,8,0.5,8567.25,11.87864284,13.87899121
0.8,10,0.8,9321.5,12.05687241,14.17288235
0.7272727272727273,11,0.7272727272727273,8033.363636,11.20266961,13.61612079
0.6428571428571429,14,0.6428571428571429,8211.428570999999,11.59176597,13.71636391
0.5625,16,0.5625,8158.1875,11.67716932,13.96520782
0.5,10,0.5,8140.6,12.13070629,14.05396809
0.6,5,0.6,9022.4,11.72369816,13.91553048
0.4,5,0.4,8101.8,11.41312265,13.47868786
