year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2000,1,0.0,2872.0,9.668323846,
2001,2,0.0,2872.5,9.668323846,
2002,4,0.5,4693.5,10.69865345,13.86732277
2003,4,0.5,4983.5,11.06023293,13.86744224
2004,4,0.5,4967.5,11.11023333,13.89270906
2005,2,0.0,3122.0,10.30822072,
2006,7,0.2857142857142857,4690.142857,12.56499379,14.11756489
2007,11,0.2727272727272727,5422.0,12.69447341,14.36048934
2008,15,0.4,6486.866667,12.96554093,14.82350483
2009,10,0.5,7422.9,12.81575737,14.824232
2010,18,0.4444444444444444,6574.777778,12.75137091,14.96442754
2011,21,0.47619047619047616,8413.809524,13.223966899999999,15.53185218
2012,25,0.56,6991.36,13.13956249,15.16805646
2013,22,0.5,7821.227273,13.13970403,15.23505942
2014,32,0.375,6615.6875,12.39972588,14.92913305
2015,34,0.38235294117647056,6614.588235,12.30478239,14.74758129
2016,36,0.3888888888888889,7336.611111,12.32125639,14.78033841
2017,31,0.41935483870967744,7092.612903,12.26155981,15.11173606
2018,29,0.3793103448275862,8186.758620999999,12.29378379,15.04632985
2019,23,0.4782608695652174,8440.913043,12.07286747,14.37511205
