year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2000,1,0.0,3432.0,12.50149972,
2001,4,0.0,3509.0,12.487309199999999,
2002,3,0.0,2626.333333,11.41909019,
2003,3,0.0,1699.6666670000002,10.89287843,
2004,2,0.0,773.0,10.36666667,
2005,2,0.0,773.0,10.36666667,
2006,2,0.0,773.0,10.36666667,
2007,2,0.0,773.0,10.36666667,
2009,6,0.0,2615.0,11.74836257,
2010,7,0.0,2746.571429,11.84705514,
2011,4,0.0,2845.25,11.92107456,
2012,7,0.0,2922.571429,12.27949695,
2013,4,0.0,3151.75,12.66232141,
2016,1,1.0,12651.0,13.62594595,16.3221224
2017,1,0.0,3994.0,12.63259706,
2019,2,1.0,9187.0,12.40816592,15.94569857
