year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2010,1,0.0,3620.0,15.74628692,
2011,3,0.3333333333333333,6622.666667,14.79887644,13.81666965
2012,4,0.5,8124.0,14.32517121,13.81666965
2013,5,0.4,7558.2,14.6854971,13.81666965
2014,4,0.25,6709.5,15.22598595,13.81666965
2015,4,1.0,11218.25,14.49850185,15.65685454
2016,5,0.4,7762.8,13.93952857,14.57071149
2017,2,0.5,10848.5,11.25220211,13.2560976
2018,2,0.5,39767.5,11.97907332,13.28015265
2019,2,0.5,15160.5,15.34763415,16.6479251
