year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
0.0,11,0.0,5317.5454549999995,11.85549692,13.95308873
0.0,19,0.0,5840.105263,12.12554144,13.93013264
0.2926829268292683,41,0.2926829268292683,6233.04878,12.39107538,14.84529824
0.3442622950819672,61,0.3442622950819672,7262.770492000001,12.55954303,14.47869124
0.3008849557522124,113,0.3008849557522124,6592.106195,12.37704959,14.54711703
0.310126582278481,158,0.310126582278481,6862.310127,12.6356623,14.79313227
0.32065217391304346,184,0.32065217391304346,7526.4619569999995,12.79116803,14.89685185
0.39893617021276595,188,0.39893617021276595,8432.053190999999,12.72022532,14.93448568
0.4230769230769231,260,0.4230769230769231,9109.330769,12.5395346,15.15080357
0.4600760456273764,263,0.4600760456273764,9843.087452,12.63798289,15.07635235
0.47770700636942676,314,0.47770700636942676,10484.90127,13.03967646,15.23153792
0.4793187347931874,411,0.4793187347931874,11475.635040000001,12.94202598,15.19945217
0.4156769596199525,421,0.4156769596199525,11081.78147,12.93101629,15.35595845
0.47844827586206895,464,0.47844827586206895,11869.30388,13.17549276,15.36978283
0.4806949806949807,518,0.4806949806949807,12607.68147,13.23312509,15.19695196
0.54510556621881,521,0.54510556621881,15254.46257,13.33515175,15.25707528
0.5218295218295218,481,0.5218295218295218,14691.83576,13.41607924,15.36070236
0.6929637526652452,469,0.6929637526652452,14903.98721,13.62515495,15.60159414
0.6457399103139013,223,0.6457399103139013,15397.56951,13.18542412,15.34139346
0.5708333333333333,240,0.5708333333333333,17944.075,13.27628689,15.41819216
