year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
1.0,1,1.0,5693.0,14.98012121,17.08348895
1.0,2,1.0,5693.0,14.98012121,17.08348895
0.6666666666666666,3,0.6666666666666666,8412.0,14.05113418,16.20865265
0.5,4,0.5,9771.5,13.58664067,15.7712345
0.6666666666666666,6,0.6666666666666666,7980.666667,13.00111573,15.35001644
0.5,6,0.5,7739.333333,13.26542687,15.83793645
0.6666666666666666,6,0.6666666666666666,9148.333333,11.63330773,14.13153397
0.2857142857142857,7,0.2857142857142857,7652.4285709999995,15.30887957,17.499727
0.5,6,0.5,14002.833330000001,14.68111097,16.78163132
0.5,4,0.5,5446.0,13.64357312,16.14908501
0.42857142857142855,7,0.42857142857142855,11113.28571,14.06008218,15.95980759
0.4444444444444444,9,0.4444444444444444,12595.77778,14.53594243,16.07544935
0.8,5,0.8,16620.0,14.04244655,15.10846324
0.6,5,0.6,13607.2,13.84722113,14.68064925
0.6666666666666666,6,0.6666666666666666,17812.16667,13.47032418,15.17126557
